attempt,status,pair_id,reason
1,accepted,smoke-pair-000,
2,accepted,smoke-pair-001,
3,accepted,smoke-pair-002,
4,accepted,smoke-pair-003,
5,accepted,smoke-pair-004,
6,accepted,smoke-pair-005,
7,accepted,smoke-pair-006,
8,accepted,smoke-pair-007,
9,accepted,smoke-pair-008,
10,accepted,smoke-pair-009,
11,accepted,smoke-pair-010,
12,accepted,smoke-pair-011,
13,accepted,smoke-pair-012,
14,accepted,smoke-pair-013,
15,accepted,smoke-pair-014,
16,accepted,smoke-pair-015,
17,accepted,smoke-pair-016,
18,accepted,smoke-pair-017,
19,accepted,smoke-pair-018,
20,accepted,smoke-pair-019,
21,accepted,smoke-pair-020,
22,accepted,smoke-pair-021,
23,accepted,smoke-pair-022,
24,accepted,smoke-pair-023,
25,accepted,smoke-pair-024,
26,accepted,smoke-pair-025,
27,accepted,smoke-pair-026,
28,accepted,smoke-pair-027,
29,accepted,smoke-pair-028,
30,accepted,smoke-pair-029,
31,accepted,smoke-pair-030,
32,accepted,smoke-pair-031,
33,accepted,smoke-pair-032,
34,accepted,smoke-pair-033,
35,accepted,smoke-pair-034,
36,accepted,smoke-pair-035,
37,accepted,smoke-pair-036,
38,accepted,smoke-pair-037,
39,accepted,smoke-pair-038,
40,accepted,smoke-pair-039,
41,accepted,smoke-pair-040,
42,accepted,smoke-pair-041,
43,accepted,smoke-pair-042,
44,accepted,smoke-pair-043,
45,accepted,smoke-pair-044,
46,accepted,smoke-pair-045,
47,accepted,smoke-pair-046,
48,accepted,smoke-pair-047,
