case_id,em_cell,lens_family,z_lens,z_source,einstein_radius_arcsec,density_slope,effective_radius_arcsec,anisotropy_ratio,seed,effective_density_slope,dispersion_4000_km_s,dispersion_16000_km_s,relative_difference,runtime_4000_seconds,runtime_16000_seconds,passed
kinematics-astrometry_kinematics_no_einstein_scale-epl_external_shear,astrometry_kinematics_no_einstein_scale,epl_external_shear,0.8,2.5,0.5,2.4,0.35,4.0,4227447514,2.4,202.59856546188104,202.89414284769398,0.001456805907082433,3.0502564143389463,3.126248098909855,True
kinematics-astrometry_kinematics_no_einstein_scale-sie_external_shear,astrometry_kinematics_no_einstein_scale,sie_external_shear,0.25,1.0,0.5,1.7,0.35,4.0,3179250375,2.0,137.36276580073408,137.17230486224258,0.0013884795380727259,2.6854123920202255,2.802777584642172,True
kinematics-astrometry_redshifts_only-epl_external_shear,astrometry_redshifts_only,epl_external_shear,0.8,2.5,2.5,2.4,1.8,0.6,571375545,2.4,589.382785866229,592.9397460975622,0.005998856131239856,3.445113480091095,5.726345466449857,True
kinematics-astrometry_redshifts_only-sie_external_shear,astrometry_redshifts_only,sie_external_shear,0.25,1.0,2.5,1.7,1.8,0.6,2163852792,2.0,370.0298787493364,369.77863314376873,0.0006794486837479417,2.8434655480086803,3.5331729743629694,True
kinematics-full_photometric_redshifts-epl_external_shear,full_photometric_redshifts,epl_external_shear,0.8,2.5,2.5,2.4,1.8,0.6,658574146,2.4,592.7840410484257,592.9157333163803,0.00022210958582255365,3.4809681363403797,5.672869272530079,True
kinematics-full_photometric_redshifts-sie_external_shear,full_photometric_redshifts,sie_external_shear,0.25,1.0,2.5,1.7,1.8,0.6,3314509434,2.0,369.44889825996137,369.52448973257174,0.0002045641756114079,2.916900796815753,4.632074160501361,True
kinematics-full_precise_spectroscopic-epl_external_shear,full_precise_spectroscopic,epl_external_shear,0.8,2.5,0.5,2.4,0.35,0.6,4215609261,2.4,204.50399787249967,206.0403377783748,0.007456500617503776,2.979997381567955,2.9077454395592213,True
kinematics-full_precise_spectroscopic-sie_external_shear,full_precise_spectroscopic,sie_external_shear,0.25,1.0,0.5,1.7,0.35,0.6,118284658,2.0,142.18449440428427,141.83387732949194,0.002472026298609973,2.717786407098174,2.5066002290695906,True
kinematics-no_lens_redshift-epl_external_shear,no_lens_redshift,epl_external_shear,0.8,2.5,0.5,2.4,0.35,0.6,150967391,2.4,202.93527801237857,205.20344936343352,0.011053280820040276,2.9429290667176247,2.8477804083377123,True
kinematics-no_lens_redshift-sie_external_shear,no_lens_redshift,sie_external_shear,0.25,1.0,0.5,1.7,0.35,0.6,2266544870,2.0,141.6433823630834,141.34980492733897,0.0020769567803460244,2.9574527963995934,2.916866147890687,True
kinematics-no_source_redshift-epl_external_shear,no_source_redshift,epl_external_shear,0.8,2.5,2.5,2.4,1.8,4.0,3892314725,2.4,556.3667854181596,554.4726179868024,0.0034161604557399502,3.460808139294386,5.257581301033497,True
kinematics-no_source_redshift-sie_external_shear,no_source_redshift,sie_external_shear,0.25,1.0,2.5,1.7,1.8,4.0,3109830976,2.0,329.1460554342726,329.5759289874477,0.001304323269286584,3.298808127641678,4.143329095095396,True
kinematics-no_velocity_dispersion-epl_external_shear,no_velocity_dispersion,epl_external_shear,0.8,2.5,0.5,2.4,0.35,4.0,1868823832,2.4,205.1886152764425,203.53662667189357,0.008116419297898567,3.0989840291440487,2.470230618491769,True
kinematics-no_velocity_dispersion-sie_external_shear,no_velocity_dispersion,sie_external_shear,0.25,1.0,0.5,1.7,0.35,4.0,547090355,2.0,136.86456587607967,136.86395772129418,4.443498460861099e-06,3.0625668708235025,3.379817981272936,True
kinematics-sparse_astrometry_timing_only-epl_external_shear,sparse_astrometry_timing_only,epl_external_shear,0.8,2.5,2.5,2.4,1.8,4.0,1688497103,2.4,553.1633279230634,554.714975400391,0.0027971977432331495,3.557594222947955,5.366708671674132,True
kinematics-sparse_astrometry_timing_only-sie_external_shear,sparse_astrometry_timing_only,sie_external_shear,0.25,1.0,2.5,1.7,1.8,4.0,1973301224,2.0,329.891029869747,329.85849119204147,9.864435378923631e-05,3.400716744363308,4.719818407669663,True
