scenario,scope,incremental_accepted,cumulative_accepted,projected_attempts,projected_active_hours,projected_published_bytes,projected_peak_bytes,projected_remaining_free_bytes,minimum_prelaunch_free_bytes,measured
rc5_baseline,stage_a,38912,38912,13829141,56.483797483244,42281598311,,,,false
rc5_baseline,stage_b_increment,32768,71680,11645592,47.5653031437844,35605556472,,,,false
rc5_baseline,stage_c_increment_after_32k_lock,26624,65536,9462044,38.6468088043248,28929514634,,,,false
rc5_baseline,stage_c_increment_after_65k_lock,26624,98304,9462044,38.6468088043248,28929514634,,,,false
rc5_baseline,final_32k_lock,65536,65536,23291184,95.1306062875688,71211112944,94910752797,235539851235,,false
rc5_baseline,final_65k_lock,98304,98304,34936776,142.6959094313532,106816669416,132296587092,198154016940,,false
proposal_v2_hypothetical_training_only_2x,final_32k_lock,65536,65536,17468388,71.3479547156766,71211112944,94910752797,235539851235,,false
proposal_v2_hypothetical_training_only_2x,final_65k_lock,98304,98304,23291184,95.1306062875688,106816669416,132296587092,198154016940,,false
proposal_ab_rc5_conservative,control_arm,512,512,181963,0.743207861621631,556336820,,,,false
proposal_ab_rc5_conservative,candidate_arm,512,1024,181963,0.743207861621631,556336820,,,,false
proposal_ab_rc5_conservative,both_arms,1024,1024,363926,1.48641572324326,1112673640,21446475732,309004128300,121446475732,false
proposal_ab_hypothetical_candidate_2x,both_arms,1024,1024,,1.11481179243245,1112673640,21446475732,309004128300,121446475732,false
